Year,Host,Winner,Runner-up,Third Place,Fourth Place,Host in Final,Host in Semis,Num of Teams,Num of Matches,Goals Scored,Average GPG
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,1,1,13,16,70,3.6
1934,Italy,Italy,Czechoslovakia,Germany,Austria,1,1,16,17,70,4.1
1938,France,Italy,Hungary,Brazil,Sweden,0,0,15,18,84,4.7
1950,Brazil,Uruguay,Brazil,Sweden,Spain,1,1,13,22,88,4
1954,Switzerland,Germany,Hungary,Austria,Uruguay,0,0,16,26,140,5.4
1958,Sweden,Brazil,Sweden,France,Germany,1,1,16,35,126,3.6
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,0,1,16,32,89,2.8
1966,England,England,Germany,Portugal,Soviet Union,1,1,16,32,89,2.8
1970,Mexico,Brazil,Italy,Germany,Uruguay,0,0,16,32,95,3
1974,Germany,Germany,Netherlands,Poland,Brazil,1,1,16,38,97,2.6
1978,Argentina,Argentina,Netherlands,Brazil,Italy,1,1,16,38,102,2.7
1982,Spain,Italy,Germany,Poland,France,0,0,24,52,146,2.8
1986,Mexico,Argentina,Germany,France,Belgium,0,0,24,52,132,2.5
1990,Italy,Germany,Argentina,Italy,England,0,1,24,52,115,2.2
1994,USA,Brazil,Italy,Sweden,Bulgaria,0,0,24,52,141,2.7
1998,France,France,Brazil,Croatia,Netherlands,1,1,32,64,171,2.7
2002,"Korea, Japan",Brazil,Germany,Turkey,South Korea,0,1,32,64,161,2.5
2006,Germany,Italy,France,Germany,Portugal,0,1,32,64,147,2.3
2010,South Africa,Spain,Netherlands,Germany,Uruguay,0,0,32,64,145,2.3
2014,Brazil,Germany,Argentina,Netherlands,Brazil,0,1,32,64,171,2.7
2018,Russia,France,Croatia,Belgium,England,0,0,32,64,169,2.6
